pair,asset_a,asset_b,window_start,window_end,stat,pvalue
SOL_GBP-BCH_GBP,SOL_GBP,BCH_GBP,2021-10-29T04:27:00.000000,2021-11-28T03:27:00.000000,-2.2262019376249267,0.4108957235950541
SOL_GBP-BCH_GBP,SOL_GBP,BCH_GBP,2021-11-04T18:27:00.000000,2021-12-04T17:27:00.000000,-2.506229347265427,0.2763286245722005
SOL_GBP-BCH_GBP,SOL_GBP,BCH_GBP,2021-12-03T09:27:00.000000,2022-01-02T08:27:00.000000,-2.7792777215115017,0.1723671934329261
SOL_GBP-BCH_GBP,SOL_GBP,BCH_GBP,2021-12-08T15:27:00.000000,2022-01-07T14:27:00.000000,-3.1542582256066356,0.0779162315201351
SOL_GBP-BCH_GBP,SOL_GBP,BCH_GBP,2021-12-13T08:27:00.000000,2022-01-12T07:27:00.000000,-3.8789698320114248,0.010602267795270985
SOL_GBP-BCH_GBP,SOL_GBP,BCH_GBP,2021-12-16T12:27:00.000000,2022-01-15T11:27:00.000000,-4.036045332414925,0.0063755212470681605
SOL_GBP-BCH_GBP,SOL_GBP,BCH_GBP,2022-02-08T16:27:00.000000,2022-03-10T15:27:00.000000,-3.711735511482214,0.017698444371933023
SOL_GBP-BCH_GBP,SOL_GBP,BCH_GBP,2022-04-09T01:27:00.000000,2022-05-09T00:27:00.000000,-2.6826206482393595,0.2058914786586281
SOL_GBP-BCH_GBP,SOL_GBP,BCH_GBP,2022-05-06T14:27:00.000000,2022-06-05T13:27:00.000000,-2.6497486507140615,0.21817007407399436
SOL_GBP-BCH_GBP,SOL_GBP,BCH_GBP,2022-06-05T15:27:00.000000,2022-07-05T14:27:00.000000,-1.706071281539859,0.674125536516467
SOL_GBP-BCH_GBP,SOL_GBP,BCH_GBP,2022-07-16T23:27:00.000000,2022-08-15T22:27:00.000000,-2.350172412283897,0.3488024073069641
SOL_GBP-BCH_GBP,SOL_GBP,BCH_GBP,2022-10-04T01:27:00.000000,2022-11-03T00:27:00.000000,-2.6697904171132705,0.21063144092010128
SOL_GBP-BCH_GBP,SOL_GBP,BCH_GBP,2023-02-05T06:27:00.000000,2023-03-07T05:27:00.000000,-3.624164920006626,0.02286413217072992
SOL_GBP-BCH_GBP,SOL_GBP,BCH_GBP,2023-03-02T21:27:00.000000,2023-04-01T20:27:00.000000,-2.800786979995408,0.16543440795933095
SOL_GBP-BCH_GBP,SOL_GBP,BCH_GBP,2023-04-22T10:27:00.000000,2023-05-22T09:27:00.000000,-1.1006668101325021,0.8820319507157844
SOL_GBP-BCH_GBP,SOL_GBP,BCH_GBP,2023-06-09T20:27:00.000000,2023-07-09T19:27:00.000000,-2.30467410954359,0.37122277596173014
SOL_GBP-BCH_GBP,SOL_GBP,BCH_GBP,2023-06-19T04:27:00.000000,2023-07-19T03:27:00.000000,-0.3187438046186879,0.9750019029254527
SOL_GBP-BCH_GBP,SOL_GBP,BCH_GBP,2023-06-26T21:27:00.000000,2023-07-26T20:27:00.000000,-2.4313173909570094,0.3101693867368952
SOL_GBP-BCH_GBP,SOL_GBP,BCH_GBP,2023-06-30T20:27:00.000000,2023-07-30T19:27:00.000000,-2.5802218121311906,0.24487869958336894
SOL_GBP-BCH_GBP,SOL_GBP,BCH_GBP,2023-07-07T20:27:00.000000,2023-08-06T19:27:00.000000,-1.537324066550443,0.7466034432221754
SOL_GBP-BCH_GBP,SOL_GBP,BCH_GBP,2023-07-08T04:27:00.000000,2023-08-07T03:27:00.000000,-1.5423864904467375,0.7445825111256251
SOL_GBP-BCH_GBP,SOL_GBP,BCH_GBP,2023-09-25T13:27:00.000000,2023-10-25T12:27:00.000000,-1.339082698727031,0.8176307501815253
SOL_GBP-BCH_GBP,SOL_GBP,BCH_GBP,2023-10-16T00:27:00.000000,2023-11-14T23:27:00.000000,-0.7633029031223688,0.9393584727743792
SOL_GBP-BCH_GBP,SOL_GBP,BCH_GBP,2023-11-06T01:27:00.000000,2023-12-06T00:27:00.000000,-2.5435726364514846,0.26019759516428165
SOL_GBP-BCH_GBP,SOL_GBP,BCH_GBP,2023-12-06T16:27:00.000000,2024-01-05T15:27:00.000000,-1.5960651275425066,0.7225479780597138
SOL_GBP-BCH_GBP,SOL_GBP,BCH_GBP,2023-12-21T09:27:00.000000,2024-01-20T08:27:00.000000,-2.8690583578982842,0.14469749050024006
SOL_GBP-BCH_GBP,SOL_GBP,BCH_GBP,2024-04-22T13:27:00.000000,2024-05-22T12:27:00.000000,-1.6381713345804483,0.7045126037035977
SOL_GBP-BCH_GBP,SOL_GBP,BCH_GBP,2024-05-11T16:27:00.000000,2024-06-10T15:27:00.000000,-3.2621118170571965,0.06014014928501871
SOL_GBP-BCH_GBP,SOL_GBP,BCH_GBP,2024-05-28T03:27:00.000000,2024-06-27T02:27:00.000000,-4.060256339636118,0.005881214281328338
SOL_GBP-BCH_GBP,SOL_GBP,BCH_GBP,2024-07-05T15:27:00.000000,2024-08-04T14:27:00.000000,-2.178232434703587,0.4356153347142694
SOL_GBP-BCH_GBP,SOL_GBP,BCH_GBP,2024-08-04T12:27:00.000000,2024-09-03T11:27:00.000000,-2.965107748276301,0.1187340929616964
SOL_GBP-BCH_GBP,SOL_GBP,BCH_GBP,2024-08-10T13:27:00.000000,2024-09-09T12:27:00.000000,-2.560833050400393,0.2529183632157218
SOL_GBP-BCH_GBP,SOL_GBP,BCH_GBP,2024-09-05T19:27:00.000000,2024-10-05T18:27:00.000000,-1.783091617415335,0.6378981724844875
