pair,asset_a,asset_b,window_start,window_end,stat,pvalue
SOL-BCH,SOL,BCH,2021-10-19T11:18:20.000000,2021-11-18T10:18:20.000000,-2.3912173898034603,0.3290258507624225
SOL-BCH,SOL,BCH,2021-10-26T02:18:20.000000,2021-11-25T01:18:20.000000,-1.9298995550794418,0.564768926064206
SOL-BCH,SOL,BCH,2021-11-23T22:18:20.000000,2021-12-23T21:18:20.000000,-2.6090075679971876,0.2332162251139347
SOL-BCH,SOL,BCH,2021-11-29T05:18:20.000000,2021-12-29T04:18:20.000000,-2.8131266253159857,0.16154380092803833
SOL-BCH,SOL,BCH,2021-12-03T23:18:20.000000,2022-01-02T22:18:20.000000,-2.137918647443146,0.45656961595815326
SOL-BCH,SOL,BCH,2021-12-07T03:18:20.000000,2022-01-06T02:18:20.000000,-3.048091640791134,0.09921175905633617
SOL-BCH,SOL,BCH,2022-01-30T16:18:20.000000,2022-03-01T15:18:20.000000,-2.199668853545374,0.42453428379761515
SOL-BCH,SOL,BCH,2022-03-31T10:18:20.000000,2022-04-30T09:18:20.000000,-2.754317491868231,0.18065324340678923
SOL-BCH,SOL,BCH,2022-04-28T03:18:20.000000,2022-05-28T02:18:20.000000,-2.7089571243404835,0.19637370677566302
SOL-BCH,SOL,BCH,2022-05-28T09:18:20.000000,2022-06-27T08:18:20.000000,-1.9050749772031683,0.5774306618215919
SOL-BCH,SOL,BCH,2022-07-08T23:18:20.000000,2022-08-07T22:18:20.000000,-2.8117660620681573,0.1619696817492851
SOL-BCH,SOL,BCH,2022-09-26T14:18:20.000000,2022-10-26T13:18:20.000000,-3.1891586330088235,0.07175962533962266
SOL-BCH,SOL,BCH,2023-01-29T14:18:20.000000,2023-02-28T13:18:20.000000,-2.9890743503262684,0.11282540525175533
SOL-BCH,SOL,BCH,2023-02-24T10:18:20.000000,2023-03-26T09:18:20.000000,-2.8761492890905083,0.14265349810445377
SOL-BCH,SOL,BCH,2023-04-16T06:18:20.000000,2023-05-16T05:18:20.000000,-2.673190024854674,0.2093689379219792
SOL-BCH,SOL,BCH,2023-06-04T00:18:20.000000,2023-07-03T23:18:20.000000,-2.0867000500290436,0.48332102859208
SOL-BCH,SOL,BCH,2023-06-13T10:18:20.000000,2023-07-13T09:18:20.000000,-0.44904533575368066,0.967767617271289
SOL-BCH,SOL,BCH,2023-06-21T04:18:20.000000,2023-07-21T03:18:20.000000,-0.048641380821948105,0.9847042230782503
SOL-BCH,SOL,BCH,2023-06-25T03:18:20.000000,2023-07-25T02:18:20.000000,-1.2133641021250685,0.8543667140255342
SOL-BCH,SOL,BCH,2023-07-02T04:18:20.000000,2023-08-01T03:18:20.000000,-2.8047088318918436,0.16419103088312292
