phase,entry_idx,exit_idx,direction,label,bars_held,outcome
train,81,99,-1.0,1,18,profit_take
train,125,128,1.0,1,3,profit_take
train,132,139,-1.0,1,7,profit_take
train,152,160,-1.0,1,8,profit_take
train,181,190,-1.0,1,9,profit_take
train,256,273,1.0,1,17,profit_take
train,302,358,-1.0,1,56,profit_take
train,365,388,-1.0,1,23,profit_take
train,410,437,-1.0,1,27,profit_take
train,454,515,-1.0,1,61,profit_take
train,526,553,-1.0,1,27,profit_take
train,558,572,-1.0,1,14,profit_take
train,577,584,-1.0,0,7,stop_loss
train,625,631,-1.0,1,6,profit_take
train,643,659,-1.0,1,16,profit_take
train,685,707,-1.0,0,22,stop_loss
train,740,944,-1.0,1,204,profit_take
train,960,968,-1.0,1,8,profit_take
train,979,982,-1.0,0,3,stop_loss
train,1111,1121,-1.0,1,10,profit_take
train,1122,1126,1.0,1,4,profit_take
train,1158,1162,-1.0,1,4,profit_take
train,1192,1229,-1.0,0,37,stop_loss
train,1324,1335,1.0,1,11,profit_take
train,1340,1342,1.0,1,2,profit_take
train,1354,1359,-1.0,0,5,stop_loss
train,1412,1417,-1.0,0,5,stop_loss
train,1434,1500,-1.0,1,66,profit_take
train,1533,1535,-1.0,1,2,profit_take
train,1549,1550,-1.0,0,1,stop_loss
train,1693,1716,1.0,1,23,profit_take
train,1741,1756,1.0,0,15,stop_loss
train,1801,1813,1.0,1,12,profit_take
train,1859,1860,1.0,0,1,stop_loss
train,1919,1948,-1.0,1,29,profit_take
train,2012,2062,-1.0,1,50,profit_take
train,2092,2107,-1.0,1,15,profit_take
train,2113,2150,-1.0,0,37,stop_loss
train,2220,2259,-1.0,1,39,profit_take
train,2282,2307,1.0,1,25,profit_take
train,2337,2415,-1.0,1,78,profit_take
train,2421,2430,1.0,1,9,profit_take
train,2441,2458,1.0,1,17,profit_take
train,2464,2471,1.0,1,7,profit_take
train,2488,2500,-1.0,1,12,profit_take
train,2509,2511,-1.0,1,2,profit_take
train,2513,2517,1.0,1,4,profit_take
train,2621,2691,-1.0,1,70,profit_take
train,2736,2747,-1.0,1,11,profit_take
train,2762,2773,-1.0,1,11,profit_take
train,2779,2816,-1.0,0,37,stop_loss
train,2878,2892,-1.0,1,14,profit_take
train,2920,2930,-1.0,1,10,profit_take
train,2933,2950,-1.0,0,17,stop_loss
train,2999,3033,1.0,1,34,profit_take
train,3063,3093,-1.0,1,30,profit_take
train,3099,3104,-1.0,1,5,profit_take
train,3112,3118,1.0,1,6,profit_take
train,3122,3123,1.0,0,1,stop_loss
train,3210,3259,-1.0,1,49,profit_take
train,3275,3299,-1.0,1,24,profit_take
train,3320,3321,-1.0,0,1,stop_loss
train,3370,3412,1.0,1,42,profit_take
train,3434,3501,-1.0,1,67,profit_take
train,3518,3519,-1.0,0,1,stop_loss
train,3558,3559,1.0,0,1,stop_loss
train,3618,3675,-1.0,1,57,profit_take
train,3714,3734,-1.0,1,20,profit_take
train,3786,3787,1.0,0,1,stop_loss
train,3832,3845,-1.0,0,13,stop_loss
train,3916,3921,-1.0,1,5,profit_take
train,3941,4028,-1.0,0,87,stop_loss
train,4116,4117,-1.0,0,1,stop_loss
train,4269,4277,-1.0,0,8,stop_loss
train,4455,4456,1.0,0,1,stop_loss
train,4606,4624,-1.0,1,18,profit_take
train,4647,4786,-1.0,1,139,profit_take
train,4791,4835,1.0,1,44,profit_take
train,4918,5008,-1.0,1,90,profit_take
train,5053,5070,1.0,1,17,profit_take
train,5085,5086,-1.0,0,1,stop_loss
train,5294,5434,-1.0,0,140,stop_loss
train,5528,5626,-1.0,1,98,profit_take
train,5639,5640,-1.0,1,1,profit_take
train,5642,5644,1.0,0,2,stop_loss
train,5708,5781,-1.0,1,73,profit_take
train,5811,5812,-1.0,0,1,stop_loss
train,5857,5858,-1.0,0,1,stop_loss
train,5942,5943,1.0,0,1,stop_loss
train,6004,6005,-1.0,0,1,stop_loss
train,6301,6302,-1.0,0,1,stop_loss
train,6382,6591,-1.0,1,209,profit_take
train,6618,6619,1.0,0,1,stop_loss
train,6799,6800,1.0,0,1,stop_loss
train,6878,6946,-1.0,1,68,profit_take
train,6974,6984,1.0,0,10,stop_loss
train,7058,7059,1.0,0,1,stop_loss
train,7193,7196,1.0,0,3,stop_loss
train,7290,7291,1.0,0,1,stop_loss
train,7374,7437,-1.0,1,63,profit_take
train,7532,7533,1.0,0,1,stop_loss
train,7638,7639,1.0,0,1,stop_loss
train,7718,7719,1.0,0,1,stop_loss
train,7795,7796,-1.0,0,1,stop_loss
train,7964,7965,1.0,0,1,stop_loss
train,8065,8066,1.0,0,1,stop_loss
train,8272,8338,-1.0,1,66,profit_take
train,8361,8408,1.0,1,47,profit_take
train,8419,8459,-1.0,1,40,profit_take
train,8477,8478,1.0,0,1,stop_loss
train,8518,8519,1.0,0,1,stop_loss
train,8578,8615,1.0,1,37,profit_take
train,8673,8674,-1.0,0,1,stop_loss
train,8754,8799,-1.0,1,45,profit_take
train,8812,8891,-1.0,1,79,profit_take
train,8952,8953,-1.0,0,1,stop_loss
train,9019,9020,-1.0,0,1,stop_loss
train,9131,9132,-1.0,0,1,stop_loss
train,9184,9218,-1.0,1,34,profit_take
train,9233,9234,-1.0,0,1,stop_loss
train,9293,9339,1.0,1,46,profit_take
train,9341,9342,1.0,0,1,stop_loss
train,9459,9506,-1.0,1,47,profit_take
train,9510,9511,-1.0,0,1,stop_loss
train,9651,9665,1.0,1,14,profit_take
train,9684,9735,1.0,1,51,profit_take
train,9753,9754,1.0,0,1,stop_loss
train,9828,9829,-1.0,0,1,stop_loss
train,9920,9921,-1.0,0,1,stop_loss
train,10046,10103,-1.0,1,57,profit_take
train,10130,10161,-1.0,1,31,profit_take
train,10162,10195,-1.0,0,33,stop_loss
train,10261,10262,-1.0,0,1,stop_loss
train,10338,10339,1.0,0,1,stop_loss
train,10401,10431,1.0,1,30,profit_take
train,10493,10607,-1.0,1,114,profit_take
train,10679,10680,-1.0,0,1,stop_loss
train,10771,10772,-1.0,0,1,stop_loss
train,10875,10876,1.0,0,1,stop_loss
train,10943,10944,1.0,0,1,stop_loss
train,11007,11051,-1.0,1,44,profit_take
train,11070,11071,-1.0,0,1,stop_loss
train,11181,11182,-1.0,0,1,stop_loss
train,11251,11252,-1.0,0,1,stop_loss
train,11373,11374,-1.0,0,1,stop_loss
train,11526,11527,-1.0,0,1,stop_loss
train,11590,11607,-1.0,0,17,stop_loss
train,11664,11665,1.0,0,1,stop_loss
train,11709,11710,1.0,0,1,stop_loss
train,11740,11751,1.0,1,11,profit_take
train,11848,11849,-1.0,0,1,stop_loss
train,11923,11929,-1.0,0,6,stop_loss
train,12004,12005,1.0,0,1,stop_loss
train,12177,12221,-1.0,1,44,profit_take
train,12226,12227,1.0,0,1,stop_loss
train,12400,12446,1.0,1,46,profit_take
train,12454,12503,-1.0,1,49,profit_take
train,12530,12531,1.0,0,1,stop_loss
train,12625,12626,1.0,0,1,stop_loss
train,12755,12796,-1.0,1,41,profit_take
train,13051,13052,1.0,0,1,stop_loss
train,13169,13187,-1.0,0,18,stop_loss
train,13266,13267,-1.0,0,1,stop_loss
train,13378,13379,1.0,0,1,stop_loss
train,13507,13508,-1.0,0,1,stop_loss
train,13637,13683,-1.0,1,46,profit_take
train,13712,13713,1.0,0,1,stop_loss
train,13795,13796,-1.0,0,1,stop_loss
train,13932,13979,-1.0,1,47,profit_take
train,14027,14028,1.0,0,1,stop_loss
train,14120,14121,-1.0,0,1,stop_loss
train,14194,14195,-1.0,0,1,stop_loss
train,14297,14298,1.0,0,1,stop_loss
train,14357,14366,-1.0,0,9,stop_loss
train,14450,14496,1.0,1,46,profit_take
train,14540,14541,1.0,0,1,stop_loss
train,14615,14616,-1.0,0,1,stop_loss
train,14688,14729,-1.0,1,41,profit_take
train,14757,14805,-1.0,1,48,profit_take
train,14902,14903,-1.0,0,1,stop_loss
train,15045,15046,1.0,0,1,stop_loss
train,15136,15137,-1.0,0,1,stop_loss
train,15236,15237,-1.0,0,1,stop_loss
train,15331,15373,-1.0,1,42,profit_take
train,15418,15445,-1.0,1,27,profit_take
train,15522,15545,-1.0,0,23,stop_loss
train,15738,15739,-1.0,0,1,stop_loss
train,15883,15884,1.0,0,1,stop_loss
train,16052,16053,1.0,0,1,stop_loss
train,16215,16216,-1.0,0,1,stop_loss
train,16391,16392,1.0,0,1,stop_loss
train,16525,16564,1.0,1,39,profit_take
train,16638,16639,-1.0,0,1,stop_loss
train,16731,16732,1.0,0,1,stop_loss
train,16792,16793,-1.0,0,1,stop_loss
train,16957,16958,-1.0,0,1,stop_loss
train,17039,17040,-1.0,0,1,stop_loss
train,17224,17286,-1.0,1,62,profit_take
train,17293,17306,-1.0,0,13,stop_loss
train,17399,17452,1.0,1,53,profit_take
train,17455,17464,-1.0,1,9,profit_take
train,17509,17554,1.0,1,45,profit_take
train,17567,17587,-1.0,1,20,profit_take
train,17603,17634,-1.0,1,31,profit_take
train,17646,17658,-1.0,1,12,profit_take
train,17679,17731,1.0,0,52,stop_loss
train,17795,17796,-1.0,0,1,stop_loss
train,17866,17876,-1.0,0,10,stop_loss
train,18021,18119,1.0,0,98,stop_loss
train,18319,18320,1.0,0,1,stop_loss
train,18423,18424,-1.0,0,1,stop_loss
train,18549,18550,-1.0,0,1,stop_loss
train,18599,18600,1.0,0,1,stop_loss
train,18688,18689,-1.0,0,1,stop_loss
train,18747,18791,1.0,1,44,profit_take
train,18824,18872,1.0,1,48,profit_take
train,18893,18894,1.0,0,1,stop_loss
train,18989,18990,1.0,0,1,stop_loss
train,19079,19080,1.0,0,1,stop_loss
train,19155,19202,-1.0,1,47,profit_take
train,19247,19285,-1.0,1,38,profit_take
train,19309,19387,1.0,1,78,profit_take
train,19444,19445,-1.0,0,1,stop_loss
train,19559,19572,-1.0,0,13,stop_loss
train,19769,19770,1.0,0,1,stop_loss
train,19846,19894,-1.0,1,48,profit_take
train,19903,19904,-1.0,0,1,stop_loss
train,19997,19998,-1.0,0,1,stop_loss
train,20067,20105,1.0,1,38,profit_take
train,20163,20226,1.0,1,63,profit_take
train,20234,20235,-1.0,0,1,stop_loss
train,20434,20435,-1.0,0,1,stop_loss
train,20476,20515,-1.0,1,39,profit_take
train,20565,20612,1.0,0,47,stop_loss
train,20672,20673,1.0,0,1,stop_loss
train,20734,20735,1.0,0,1,stop_loss
train,20842,20882,-1.0,1,40,profit_take
train,20918,20919,1.0,0,1,stop_loss
train,20946,20990,1.0,1,44,profit_take
train,21025,21026,-1.0,0,1,stop_loss
train,21075,21076,-1.0,0,1,stop_loss
train,21135,21144,-1.0,1,9,profit_take
train,21194,21306,-1.0,1,112,profit_take
train,21353,21354,1.0,0,1,stop_loss
train,21434,21435,1.0,0,1,stop_loss
train,21595,21596,-1.0,0,1,stop_loss
train,21694,21705,1.0,1,11,profit_take
train,21801,21851,-1.0,1,50,profit_take
train,21865,21952,-1.0,0,87,stop_loss
train,22094,22182,-1.0,1,88,profit_take
train,22185,22186,1.0,0,1,stop_loss
train,22296,22297,1.0,0,1,stop_loss
train,22339,22483,-1.0,1,144,profit_take
train,22554,22555,-1.0,0,1,stop_loss
train,22643,22644,-1.0,0,1,stop_loss
train,22733,22734,-1.0,0,1,stop_loss
train,22811,22870,-1.0,1,59,profit_take
train,22893,22992,-1.0,1,99,profit_take
train,23021,23065,1.0,1,44,profit_take
train,23075,23076,-1.0,0,1,stop_loss
train,23215,23222,1.0,1,7,profit_take
train,23233,23237,-1.0,0,4,stop_loss
train,23298,23301,1.0,0,3,stop_loss
train,23420,23433,-1.0,0,13,stop_loss
train,23467,23510,-1.0,1,43,profit_take
train,23529,23532,1.0,1,3,profit_take
train,23569,23626,1.0,1,57,profit_take
train,23646,23698,1.0,1,52,profit_take
train,23724,23747,-1.0,1,23,profit_take
train,23751,23797,-1.0,1,46,profit_take
train,23824,23825,-1.0,0,1,stop_loss
train,23925,23926,-1.0,0,1,stop_loss
train,23995,24004,1.0,1,9,profit_take
train,24010,24011,-1.0,0,1,stop_loss
train,24125,24197,-1.0,1,72,profit_take
train,24210,24211,1.0,0,1,stop_loss
train,24363,24364,-1.0,0,1,stop_loss
train,24601,24602,1.0,0,1,stop_loss
train,24719,24720,-1.0,0,1,stop_loss
train,24767,24932,-1.0,1,165,profit_take
train,24953,24954,-1.0,0,1,stop_loss
train,25049,25130,-1.0,0,81,stop_loss
train,25202,25203,1.0,0,1,stop_loss
train,25240,25264,-1.0,1,24,profit_take
train,25300,25473,1.0,1,173,profit_take
train,25481,25482,-1.0,0,1,stop_loss
train,25619,25620,-1.0,0,1,stop_loss
train,25797,25798,-1.0,0,1,stop_loss
train,25929,25984,-1.0,1,55,profit_take
train,26123,26124,1.0,0,1,stop_loss
train,26340,26366,-1.0,0,26,stop_loss
train,26473,26490,-1.0,1,17,profit_take
train,26537,26613,1.0,1,76,profit_take
train,26632,26633,1.0,0,1,stop_loss
train,26717,26755,-1.0,0,38,stop_loss
train,26875,26876,1.0,0,1,stop_loss
train,26927,26955,1.0,0,28,stop_loss
train,27047,27048,-1.0,0,1,stop_loss
train,27110,27111,-1.0,0,1,stop_loss
train,27234,27313,1.0,1,79,profit_take
train,27343,27344,1.0,0,1,stop_loss
train,27396,27397,-1.0,0,1,stop_loss
test,27503,27504,1.0,0,1,stop_loss
test,27563,27564,-1.0,0,1,stop_loss
test,27675,27676,-1.0,0,1,stop_loss
test,27742,27743,1.0,0,1,stop_loss
test,27819,27820,-1.0,0,1,stop_loss
test,27931,27932,1.0,0,1,stop_loss
test,28034,28035,-1.0,0,1,stop_loss
test,28151,28248,1.0,1,97,profit_take
test,28275,28297,-1.0,1,22,profit_take
test,28301,28302,1.0,0,1,stop_loss
test,28450,28451,-1.0,0,1,stop_loss
test,28582,28583,-1.0,0,1,stop_loss
test,28649,28650,-1.0,0,1,stop_loss
test,28746,28747,-1.0,0,1,stop_loss
test,28838,28839,1.0,0,1,stop_loss
test,28893,28894,-1.0,0,1,stop_loss
test,28952,28953,1.0,0,1,stop_loss
test,28998,28999,-1.0,0,1,stop_loss
test,29064,29179,1.0,1,115,profit_take
test,29190,29191,-1.0,0,1,stop_loss
test,29280,29281,-1.0,0,1,stop_loss
test,29285,29307,1.0,1,22,profit_take
test,29340,29386,1.0,1,46,profit_take
test,29414,29416,1.0,0,2,stop_loss
test,29429,29437,-1.0,0,8,stop_loss
test,29535,29538,-1.0,1,3,profit_take
test,29544,29548,-1.0,0,4,stop_loss
test,29630,29631,1.0,0,1,stop_loss
test,29700,29727,-1.0,1,27,profit_take
test,29772,29831,-1.0,1,59,profit_take
test,29857,29871,-1.0,1,14,profit_take
test,29884,29901,-1.0,1,17,profit_take
test,29984,29998,1.0,0,14,stop_loss
test,30071,30090,-1.0,1,19,profit_take
test,30162,30175,-1.0,1,13,profit_take
test,30192,30213,1.0,0,21,stop_loss
test,30394,30395,-1.0,0,1,stop_loss
test,30457,30458,1.0,0,1,stop_loss
test,30559,30567,1.0,1,8,profit_take
